route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_desc,route_url,continuous_pickup,continuous_drop_off,competent_authority,contract
ade947b81721ac6380bdd7d1ba48881b,LAANE_VIRUMAA_10230847,64,Tapa - Lehtse - Aegviidu,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi,,,,Lääne-Virumaa,Lääne-Virumaa
b0f8f6030bb98ef34c572e4168b1ec85,LAANE_VIRUMAA_10230847,13,Rakke - Piibe - Liigvalla - Rakke,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
e3d58a6fe5b9f63ea38c61b3964b1557,LAANE_VIRUMAA_10230847,31,Tapa - Vohnja - Kadrina - Rakvere,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
7f70cb178325bc1ccd4a1cc3c06483fe,LAANE_VIRUMAA_10230847,41A,Rakvere - Kantküla - Ulvi - Viru-Kabala,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
c2e5854b7a2bc4ad837830f4cb84c494,LAANE_VIRUMAA_10230847,52,Rakvere - Väike-Maarja - Tamsalu,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
53d707428aa10467d1b2faea49ba8d92,LAANE_VIRUMAA_10230847,65B,Rakvere - Laekvere - Avinurme - Tudulinna OSALISELT NÕUDELIIN,3,3bb5db,000000,"Liin ei ole käigus riigipühadel<br>Väljumine : Rakverest kl 18:15 väljumisel peatused Töökoda, Mäetsma, Lohusuu rist, Änniksaare, Pikati, Metsküla, Tagasilla, Tudulinna kalmistu, Tudulinna läbitakse vaid reisijate olemasolul. Neis peatustes sisenemiseks tuleb helistada hiljemalt kl 15:00 tel. 600 7755",,,,Lääne-Virumaa,Lääne-Virumaa
c5913ca63f66463373aca65a0604ce66,LAANE_VIRUMAA_10230847,29,Rakvere - Viru-Jaagupi - Simuna,3,3bb5db,000000,,,,,Lääne-Virumaa,Lääne-Virumaa
70ab11b99a849dbd1c73059a2d4713c2,LAANE_VIRUMAA_10230847,17,Kunda - Toolse - Selja - Kunda,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
44141986312c5340b6b056fb9919de38,LAANE_VIRUMAA_10230847,62,Rakvere - Viitna - Käsmu - Võsu - Vihula - Rakvere,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
8b0ca360ae136b918aed7303c84f0ce6,LAANE_VIRUMAA_10230847,21,Rakvere - Sõmeru,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi,,,,Lääne-Virumaa,Lääne-Virumaa
301d7b17524c38778e55f1af1d79bc9e,LAANE_VIRUMAA_10230847,32,Rakvere - Tamsalu - Järva-Jaani,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi,,,,Lääne-Virumaa,Lääne-Virumaa
90ce03e4fdad418ee6df788d3707d1b9,LAANE_VIRUMAA_10230847,12,Rakke - Koeru - Aruküla,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
8aa9a0f6e2f94780ec2e750d7f493493,LAANE_VIRUMAA_10230847,58,Käsmu - Võsu - Palmse - Sagadi - Rakvere,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
2cbc920188a0d80ee0b8d01a451c6db1,LAANE_VIRUMAA_10230847,42,Rakvere - Võsu - Käsmu,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi,,,,Lääne-Virumaa,Lääne-Virumaa
2e573e10120a3653796946eb9257acd1,LAANE_VIRUMAA_10230847,39,Tamsalu - Väike-Maarja - Simuna,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
750ba9a8dbc1d5a17981b2bfc2a5b28e,LAANE_VIRUMAA_10230847,47C,Rakvere - Raudlepa - Uhtna - Ubja - Rakvere,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
74bef93413e370a32f66084fd1dab323,LAANE_VIRUMAA_10230847,20,Rakvere - Väike-Maarja - Tamsalu,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi,,,,Lääne-Virumaa,Lääne-Virumaa
35e99a4d0049b77aece2fb06d5cc870e,LAANE_VIRUMAA_10230847,24,Rakvere - Pajusti - Viru-Jaagupi - Vinni - Rakvere,3,3bb5db,000000,,,,,Lääne-Virumaa,Lääne-Virumaa
32a3c95590248efabbda9eb63cf36d37,LAANE_VIRUMAA_10230847,36,Rakvere - Väike-Maarja - Rakke - Salla - Rakke,3,3bb5db,000000,Liin on riigipühadel käigus pühapäevase sõiduplaani järgi,,,,Lääne-Virumaa,Lääne-Virumaa
748cb45a7228434ca9ff97c559f6f340,LAANE_VIRUMAA_10230847,39A,Tamsalu - Väike-Maarja - Simuna - Rakvere,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
34d85bd74af4ab5664817588d059f434,LAANE_VIRUMAA_10230847,48,Rakvere - Veltsi - Viitna - Palmse,3,3bb5db,000000,Liin ei ole käigus riigipühadel,,,,Lääne-Virumaa,Lääne-Virumaa
55f2ce3d2cdba9422bc3435f250df045,HARJUMAA_10230847,R12,Lagedi kool - Tuulevälja - Pajupea - Jüri Kool,3,3bb5db,000000,,,,,Harjumaa,Rae sise
d2db85a11ad9d0c0743d26fc954e381d,HARJUMAA_10085032,K8,Kose - Ojasoo - Habaja - Harmi - Virla - Kõue - Ardu,3,3bb5db,000000,"Alates 01.09.2025: Liin on käigus koolipäeviti, koolivaheaegadel muudetud sõiduplaaniga. 9:25 ja 11:30 väljumised toimuvad ainult reedeti (ka riigipühadel ja koolivaheaegadel)",,,,Harjumaa,Kose sise
91c3d20f0c9c35cc6a3a5bdde6122ed2,HARJUMAA_10230847,SN1,Munalaskme - Tabara - Riisipere - Nissi,3,3bb5db,000000,Liin on käigus koolipäevadel,,,,Harjumaa,Saue sise 2
107bb5067b5e72c593a2a43e0a2eb174,HARJUMAA_10077848,104A,Tallinn - Loo - Kostivere,3,3bb5db,000000,,,,,Harjumaa,Ida 2
412dfb3343605511b366c99112e48c57,HARJUMAA_10085032,J16,Kostivere kool - Neeme tee - Kuuse tee - Kodasoo - Jõelähtme,3,3bb5db,000000,Liin on käigus koolipäevadel,,,,Harjumaa,Jõelähtme sise
c1916b6bfcf0a91a38b5db3d90ab4a26,HARJUMAA_10230847,Ä3,Ääsmäe - Tuula - Keila - Valingu - Jõgisoo - Ääsmäe,3,3bb5db,000000,Liin on käigus koolipäevadel,,,,Harjumaa,Saue sise 2
